"sort_to_sheet","mat_type_code","mat_type","first_item_itype","call_number","isbn","bib_record_num","bib_record_id","publish_year","cataloging_date","best_title","best_title_norm","call_number","volume_statement","oldest_hold_date","newest_hold_date","bib_locations","abbv_bib_locations","count_active_holds","count_active_copies","count_copies_on_order"
"clc","i","Book on CD","71","cd-spoken fiction korman","9781481532914","b3229950a","420910024958","2015","2016-12-09","Masterminds [sound recording]","masterminds sound recording","cd-spoken fiction korman","","2018-07-16","2018-08-27","shj","sh","3","0","0"
"clc","j","Music CD","78","cd-juvenile nursery n974s     2013","00882630000533","b3070376a","420909865384","2013","2015-07-15","Nursery rhymes songs [sound recording].","nursery rhymes songs sound recording","cd-juvenile nursery n974s     2013","","2019-04-22","2019-05-21","osj","os","3","0","0"
"clc","a","Book","2","745.723 fw344","9780746038291","b1869605a","420908664613","2000","2002-03-25","The Usborne book of art ideas","usborne book of art ideas","745.723 fw344","","2019-01-30","2019-03-02","osj","os","2","0","0"
"clc","q","Playaway","91","pl-spoken fiction","9781440704192","b2770507a","420909565515","2009","2010-03-17","Rodrick rules [electronic resource]","rodrick rules electronic resource","pl-spoken fiction","","2018-11-09","2019-02-23","bhj,hpj,maj,1cj","bh,hp,ma,1c","2","0","0"
"clc","a","Book","2","easy","9781569315033","b2294280a","420909089288","2000","2004-06-18","Let's find Pokémon 3!","lets find pokémon 3","easy","","2019-02-04","2019-03-21","maj","ma","2","0","0"
"clc","a","Book","11","easy","9780316200745","b2928558a","420909723566","2014","2014-01-16","Feelings!","feelings","easy","","2019-03-12","2019-06-19","dtj,1cj,mmj,osj,plj,smj","dt,1c,mm,os,pl,sm","2","0","0"
"clc","a","Book","2","easy","9780670106141","b2491321a","420909286329","1972","1992-04-24","The adventures of Obadiah.","adventures of obadiah","easy","","2019-07-06","2019-07-06","1lj,osj","1l,os","1","0","0"
"clc","a","Book","2","easy","9780207175961","b1443572a","420908238580","1992","1993-04-16","Looking for crabs","looking for crabs","easy","","2018-08-16","2018-08-16","osj,shj","os,sh","1","0","0"
"clc","a","Book","2","easy","9780824918415","b2749418a","420909544426","2009","2010-02-09","The story of the Statue of Liberty","story of the statue of liberty","easy","","2019-01-21","2019-01-21","1cj","1c","1","0","0"
"clc","a","Book","2","easy","","b2163394a","420908958402","1960","1995-05-04","The Buttons go camping","buttons go camping","easy","","2019-07-02","2019-07-02","1lj","1l","1","0","0"
"clc","a","Book","2","easy","9780805091687","b2739398a","420909534406","2010","2010-02-16","Chick : a pop-up book","chick a pop up book","easy","","2019-02-20","2019-02-20","dtj,maj,1cj,1lj,nsj,osj,plj","dt,ma,1c,1l,ns,os,pl","1","0","0"
"clc","a","Book","2","easy","9781465416865","b3013896a","420909808904","2014","2014-12-03","Pull the tab : animals","pull the tab animals","easy","","2019-06-20","2019-06-20","1cj,moj,mtj,osj","1c,mo,mt,os","1","0","0"
"clc","a","Book","2","easy","9780794414467","b2579295a","420909374303","2008","2008-03-12","Worlds of adventure : a look-inside book","worlds of adventure a look inside book","easy","","2019-05-05","2019-05-05","dpj,foj,1cj,osj,wwj","dp,fo,1c,os,ww","1","0","0"
"clc","a","Book","2","easy","9780694013050","b2426969a","420909221977","2004","2004-09-10","Dinosaur hide-and-seek","dinosaur hide and seek","easy","","2018-10-28","2018-10-28","bhj,1lj,osj,plj","bh,1l,os,pl","1","0","0"
"clc","a","Book","2","easy","9780679839477","b1441337a","420908236345","1993","1993-04-16","A big ball of string","big ball of string","easy","","2019-05-10","2019-05-10","osj","os","1","0","0"
"clc","a","Book","2","398.4","9780397316144","b2481741a","420909276749","1975","1992-03-22","Hans Clodhopper","hans clodhopper","398.4","","2019-05-30","2019-05-30","1lj","1l","1","0","0"
"clc","a","Book","2","796.323092 o58  zco","9780553481587","b1482733a","420908277741","1993","1994-02-10","Shaquille O'Neal","shaquille oneal","796.323092 o58  zco","","2019-05-17","2019-05-17","1lj","1l","1","0","0"
"clc","a","Book","2","636.9322 qb261","9780836828917","b1841036a","420908636044","2001","2002-09-30","101 facts about rabbits","101 facts about rabbits","636.9322 qb261","","2018-08-15","2018-08-15","osj","os","1","0","0"
"clc","a","Book","2","easy","9780688114282","b1324896a","420908119904","1992","1992-12-04","The big Alfie out of doors storybook","big alfie out of doors storybook","easy","","2019-06-10","2019-06-10","1lj","1l","1","0","0"
